Companies;Company Sectors;Company Headquarters;Countries;Regions;Response Sectors;Backdate;Title;Responded To;Tags;Responded;Authors;URL;Link to Company Page;Story;Response
PepsiCo;Food & beverage;US;US;;Food & beverage;12.07.2017;Pepsi's response re conflict between its climate commitments and participation in US Chamber of Commerce;NGOs urge Disney, Gap, Pepsi to stop US Chamber of Commerce participation given conflict with climate promises;Climate Crisis;Yes;PepsiCo;https://www.business-humanrights.org/en/latest-news/pepsis-response-re-conflict-between-its-climate-commitments-and-participation-in-us-chamber-of-commerce/;https://www.business-humanrights.org/en/companies/pepsico/;;
Volkswagen;Automobile & other motor vehicles;DE;CN;;Automobile & other motor vehicles;07.08.2017;Volkswagen response to allegations on labour issues at Changchun FAW-Volkswagen;China: Worker Representatives at Changchun FAW-Volkswagen arrested after organizing campaign for equal pay for agency workers;Labour Rights;Yes;Volkswagen;https://www.business-humanrights.org/en/latest-news/volkswagen-response-to-allegations-on-labour-issues-at-changchun-faw-volkswagen/;https://www.business-humanrights.org/en/companies/volkswagen/;;
BHP;Mining|Oil, gas & coal;AU;CL;;Mining;14.08.2017;Response by BHP Billiton;Chile: Indigenous organisations concerned about water use by mining projects on Peru/Chile border;Indigenous Peoples;Yes;BHP Billiton;https://www.business-humanrights.org/en/latest-news/response-by-bhp-billiton-2/;https://www.business-humanrights.org/en/companies/bhp-formerly-bhp-billiton/;;
Volkswagen;Automobile & other motor vehicles;DE;CN;;;14.09.2017;Volkswagen did not provide further response to China Labour Bulletin's rejoinder;China: Worker Representatives at Changchun FAW-Volkswagen arrested after organizing campaign for equal pay for agency workers;Labour Rights;No;;https://www.business-humanrights.org/en/latest-news/volkswagen-did-not-provide-further-response-to-china-labour-bulletins-rejoinder/;https://www.business-humanrights.org/en/companies/volkswagen/;;
Shell plc;Hydrogen|Oil, gas & coal;GB;NL;;;18.09.2017;Shell declined to respond;Union of Concerned Scientists-led study quantifies impacts of emissions of major fossil fuel producers on global temperature & sea level rise;Climate Crisis;No;;https://www.business-humanrights.org/en/latest-news/shell-declined-to-respond/;https://www.business-humanrights.org/en/companies/shell-plc/;;
TotalEnergies (formerly Total);Energy|Hydrogen|Oil, gas & coal;FR;FR;;;18.09.2017;Total response;Union of Concerned Scientists-led study quantifies impacts of emissions of major fossil fuel producers on global temperature & sea level rise;Climate Crisis;Yes;Total;https://www.business-humanrights.org/en/latest-news/total-response-3/;https://www.business-humanrights.org/en/companies/totalenergies-formerly-total/;;
ExxonMobil;Oil, gas & coal;US;US;;;18.09.2017;ExxonMobil did not respond;Union of Concerned Scientists-led study quantifies impacts of emissions of major fossil fuel producers on global temperature & sea level rise;Climate Crisis;No;;https://www.business-humanrights.org/en/latest-news/exxonmobil-did-not-respond/;https://www.business-humanrights.org/en/companies/exxonmobil/;;
adidas;Clothing & textile|Footwear|Retail|Sporting goods;DE;DE;;Clothing & textile|Footwear;02.10.2017;Response by adidas;Indonesia: Adidas & Mizuno failed to address labour rights abuses in supplier factory, says Clean Clothes Campaign;Supply Chains;Yes;adidas;https://www.business-humanrights.org/en/latest-news/response-by-adidas-3/;https://www.business-humanrights.org/en/companies/adidas/;;
TotalEnergies (formerly Total);Energy|Hydrogen|Oil, gas & coal;FR;ID|MY;;Bioenergy;23.10.2017;Réponse de Total;"Un rapport d'ONG explique la loi française sur le devoir de vigilance à travers 3 études de cas; avec les réponses des entreprises";Certification|Clean, Healthy & Sustainable Environment|Climate Crisis|Company Policies|Company Reporting|Supply Chains;Yes;Total;https://www.business-humanrights.org/en/latest-news/réponse-de-total-3/;https://www.business-humanrights.org/en/companies/totalenergies-formerly-total/;;
Coca-cola Amatil;Food & beverage;ID;ID;;Food & beverage;25.10.2017;Coca-Cola Amatil did not respond;"Indonesia: Report says Coca-Cola Amatil violates workers' right to organise; company did not respond";Freedom of Association|Labour Rights;No;;https://www.business-humanrights.org/en/latest-news/coca-cola-amatil-did-not-respond/;https://www.business-humanrights.org/en/companies/coca-cola-amatil/;;
Anheuser-Busch InBev;Food & beverage;BE;HN;;Sugar;31.10.2017;Respuesta de Azunosa, parte de Anheuser-Busch In Bev;Honduras: ONG denuncia atentado contra líder indígena tolupán presuntamente relacionado con conflicto de tierras;Death threats|Human Rights Defenders|Land Rights|Security Issues & Conflict Zones;Yes;;https://www.business-humanrights.org/en/latest-news/respuesta-de-azunosa-parte-de-anheuser-busch-in-bev/;https://www.business-humanrights.org/en/companies/anheuser-busch-inbev/;;
Anheuser-Busch InBev;Food & beverage;BE;HN;;;31.10.2017;Response of Azunosa, part of Anheuser-Busch In Bev;Honduras: NGO denounces attack against Tolupan leader in context of land conflict;Death threats|Indigenous Peoples|Land Rights|Security Issues & Conflict Zones;Yes;;https://www.business-humanrights.org/en/latest-news/response-of-azunosa-part-of-anheuser-busch-in-bev/;https://www.business-humanrights.org/en/companies/anheuser-busch-inbev/;;
ExxonMobil;Oil, gas & coal;US;US;;Oil, gas & coal;27.11.2017;ExxonMobil response;USA: Govt. withdraws from Extractive Industries Transparency Initiative;Extractive Industries Transparency Initiative (EITI)|Payments to governments;Yes;ExxonMobil;https://www.business-humanrights.org/en/latest-news/exxonmobil-response-4/;https://www.business-humanrights.org/en/companies/exxonmobil/;;
LVMH Moët Hennessy – Louis Vuitton;Clothing & textile|Jewellery|Luggage, backpacks & bags|Perfume|Wineries;FR;RS;;Clothing & textile;19.12.2017;LVMH did not respond;Ukraine, Serbia & Hungary: Report by Clean Clothes Campaign details poverty wages & poor working conditions in garment factories producing for global brands, incl. co responses;Labour Rights;No;;https://www.business-humanrights.org/en/latest-news/lvmh-did-not-respond/;https://www.business-humanrights.org/en/companies/lvmh-moët-hennessy-louis-vuitton/;;
Hennes & Mauritz (H&M);Clothing & textile;SE;RS;;Clothing & textile;19.12.2017;Response by H&M;Ukraine, Serbia & Hungary: Report by Clean Clothes Campaign details poverty wages & poor working conditions in garment factories producing for global brands, incl. co responses;Labour Rights;Yes;H&M;https://www.business-humanrights.org/en/latest-news/response-by-hm-2/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/;;
adidas;Clothing & textile|Footwear|Retail|Sporting goods;DE;UA;;Clothing & textile;19.12.2017;Response by adidas;Ukraine, Serbia & Hungary: Report by Clean Clothes Campaign details poverty wages & poor working conditions in garment factories producing for global brands, incl. co responses;Labour Rights;Yes;adidas;https://www.business-humanrights.org/en/latest-news/response-by-adidas-4/;https://www.business-humanrights.org/en/companies/adidas/;;
Inditex;Clothing & textile|Footwear|Retail;ES;RS|UA;;Clothing & textile;19.12.2017;Response by Inditex;Ukraine, Serbia & Hungary: Report by Clean Clothes Campaign details poverty wages & poor working conditions in garment factories producing for global brands, incl. co responses;Labour Rights;Yes;;https://www.business-humanrights.org/en/latest-news/response-by-inditex/;https://www.business-humanrights.org/en/companies/inditex/;;
Shell plc;Hydrogen|Oil, gas & coal;GB;US;;Oil, gas & coal;08.01.2018;Shell response;"""Smoke & Fumes"" study alleges that major oil companies misled public about negative impacts of climate change despite knowledge of risks";Climate Crisis;Yes;Shell;https://www.business-humanrights.org/en/latest-news/shell-response-6/;https://www.business-humanrights.org/en/companies/shell-plc/;;
ExxonMobil;Oil, gas & coal;US;US;;Oil, gas & coal;05.01.2018;Exxonmobil response;"""Smoke & Fumes"" study alleges that major oil companies misled public about negative impacts of climate change despite knowledge of risks";Climate Crisis;Yes;ExxonMobil;https://www.business-humanrights.org/en/latest-news/exxonmobil-response-5/;https://www.business-humanrights.org/en/companies/exxonmobil/;;
TotalEnergies (formerly Total);Energy|Hydrogen|Oil, gas & coal;FR;UG;;Oil, gas & coal;20.02.2018;Total's response;"Uganda: Communities displaced for oil-related infrastructure allege unfair compensation by oil companies; Total responds";Displacement|Ownership of Property & Possessions;Yes;Total;https://www.business-humanrights.org/en/latest-news/totals-response-2/;https://www.business-humanrights.org/en/companies/totalenergies-formerly-total/;;
Hennes & Mauritz (H&M);Clothing & textile;SE;IN;;;19.02.2018;Response by H&M;"India: Report finds female migrant workers are subjected to conditions of modern slavery in factories supplying to garment brands; incl. co responses";Labour Rights;Yes;H&M;https://www.business-humanrights.org/en/latest-news/response-by-hm-3/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/;;
adidas;Clothing & textile|Footwear|Retail|Sporting goods;DE;ID;;;16.03.2018;Response by adidas;Labour groups 'disappointed' as German National Contact Point closed case against Adidas over alleged abuses at Indonesian supplier;Labour Rights;Yes;adidas;https://www.business-humanrights.org/en/latest-news/response-by-adidas-5/;https://www.business-humanrights.org/en/companies/adidas/;;
adidas;Clothing & textile|Footwear|Retail|Sporting goods;DE;IL;;Sporting goods;31.03.2018;adidas responded to human rights concerns regarding its sponsorship of the Israel Football Association;Palestinian civil society welcomes end of partnership between adidas and Israel Football Association;Humanitarian Law|Security Issues & Conflict Zones;Yes;adidas;https://www.business-humanrights.org/en/latest-news/adidas-responded-to-human-rights-concerns-regarding-its-sponsorship-of-the-israel-football-association/;https://www.business-humanrights.org/en/companies/adidas/;;
Glencore;Metals & steel|Mining|Oil, gas & coal;CH;PE;;Mining;16.04.2018;Respuesta de Glencore;Perú: Comunidades del Cusco denuncian golpizas y violencia por la policía por su oposición a carretera de Glencore;Violence|Women;Yes;;https://www.business-humanrights.org/en/latest-news/respuesta-de-glencore-4/;https://www.business-humanrights.org/en/companies/glencore/;;
Glencore;Metals & steel|Mining|Oil, gas & coal;CH;PE;;Mining;11.04.2018;Response by Glencore;"Peru: Glencore copper mine impacts local communities; including past company responses";Violence|Women;Yes;Glencore;https://www.business-humanrights.org/en/latest-news/response-by-glencore-5/;https://www.business-humanrights.org/en/companies/glencore/;;
ExxonMobil;Oil, gas & coal;US;PG;;Oil, gas & coal;18.04.2018;Response by Exxon Mobil;"Papua New Guinea: Apparent lack of benefits from LNG project allegedly lead to violence within project communities; inc co. statements from ExxonMobil and Oil Search";Economic, Social, and Cultural Rights|Extractive Industries Transparency Initiative (EITI)|UN Guiding Principles on Business & Human Rights (UNGPs);Yes;Exxon Mobil;https://www.business-humanrights.org/en/latest-news/response-by-exxon-mobil/;https://www.business-humanrights.org/en/companies/exxonmobil/;;
Coca-Cola FEMSA;Food & beverage;MX;PH;;;30.04.2018;Response by Coca-Cola FEMSA;"Philippines: Report of violent dispersal of protesting workers surfaces; Coca-cola responds";Protests;Yes;Coca-Cola FEMSA;https://www.business-humanrights.org/en/latest-news/response-by-coca-cola-femsa/;https://www.business-humanrights.org/en/companies/coca-cola-femsa/;;
Volkswagen;Automobile & other motor vehicles;DE;ZA;;;28.05.2018;Response by Volkswagen;Südafrika: Menschenrechtliche Verantwortung dt. Unternehmen in der Platinlieferkette;Access to Water|Adequate Living Standards|Displacement|Housing|Ownership of Property & Possessions|Personal Health;Yes;Volkswagen;https://www.business-humanrights.org/en/latest-news/response-by-volkswagen-2/;https://www.business-humanrights.org/en/companies/volkswagen/;;
Hennes & Mauritz (H&M);Clothing & textile;SE;;Asia & Pacific;;02.05.2018;H&M response to Clean Clothes Campaign letter (18 Mar 2018);Clean Clothes Campaign & Intl. Labor Rights Forum campaign urges H&M to meet its living wage commitment;Living Wage;Yes;H&M;https://www.business-humanrights.org/en/latest-news/hm-response-to-clean-clothes-campaign-letter-18-mar-2018/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/;;
Hennes & Mauritz (H&M);Clothing & textile;SE;;Asia & Pacific;;13.06.2018;H&M final comment;Clean Clothes Campaign & Intl. Labor Rights Forum campaign urges H&M to meet its living wage commitment;Living Wage;Yes;H&M;https://www.business-humanrights.org/en/latest-news/hm-final-comment/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/;;
Hennes & Mauritz (H&M);Clothing & textile;SE;IN;Asia & Pacific;Clothing & textile;26.06.2018;H&M's response re gender based violence;H&M, Walmart & Gap Inc. face allegations of gender based violence in their Asian supply chains;Freedom of Association|Gender Discrimination|Labour Rights|Sexual harassment|Violence;Yes;H&M;https://www.business-humanrights.org/en/latest-news/hms-response-re-gender-based-violence/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/;;
Rio Tinto;Mining;GB;GB;;;16.07.2018;Rio Tinto response;Range of human rights abuses by extractive companies allegedly tied to European financial institutions: companies respond to Facing Finance report;Land Rights;Yes;;https://www.business-humanrights.org/en/latest-news/rio-tinto-response-4/;https://www.business-humanrights.org/en/companies/rio-tinto/;;
Glencore;Metals & steel|Mining|Oil, gas & coal;CH;CH;;;16.07.2018;Glencore response;Range of human rights abuses by extractive companies allegedly tied to European financial institutions: companies respond to Facing Finance report;Clean, Healthy & Sustainable Environment|Personal Health;Yes;;https://www.business-humanrights.org/en/latest-news/glencore-response-4/;https://www.business-humanrights.org/en/companies/glencore/;;
Vale;Energy|Metals & steel|Mining|Oil, gas & coal;BR;AR|BR|MZ|PE;;;16.07.2018;Vale response;Range of human rights abuses by extractive companies allegedly tied to European financial institutions: companies respond to Facing Finance report;Clean, Healthy & Sustainable Environment|Forced Labour & Modern Slavery|Lawsuits & regulatory action|Other Discrimination;Yes;Vale (Brazil);https://www.business-humanrights.org/en/latest-news/vale-response-3/;https://www.business-humanrights.org/en/companies/vale/;;
BHP|Cerrejón Coal (former joint venture Anglo American;" BHP & Glencore; now part of Glencore)";Mining|Oil, gas & coal;AU|CO;;;16.07.2018;BHP Billiton response;Range of human rights abuses by extractive companies allegedly tied to European financial institutions: companies respond to Facing Finance report;Indigenous Peoples|Land Rights;Yes;;https://www.business-humanrights.org/en/latest-news/bhp-billiton-response-4/;https://www.business-humanrights.org/en/companies/bhp-formerly-bhp-billiton/|https://www.business-humanrights.org/en/companies/cerrejón-coal-former-joint-venture-anglo-american-bhp-glencore-now-part-of-glencore/;;
BHP|Samarco Mineraçao S.A. (Joint venture between Vale S.A. (50%) and BHP (50%))|Vale;Energy|Metals & steel|Mining|Oil, gas & coal;AU|BR;AU|BR;;Hydropower & dam projects|Mining;23.07.2018;Brasil: Envolvida na tragédia do Rio Doce, BHP Billiton é notificada sobre ação coletiva de investidores na Austrália;;Access to Information|Clean, Healthy & Sustainable Environment|Injuries|Lawsuits & regulatory action;Yes;Portal de Notícias da Globo (G1), (Brazil);https://www.business-humanrights.org/en/latest-news/brasil-envolvida-na-tragédia-do-rio-doce-bhp-billiton-é-notificada-sobre-ação-coletiva-de-investidores-na-austrália/;https://www.business-humanrights.org/en/companies/bhp-formerly-bhp-billiton/|https://www.business-humanrights.org/en/companies/samarco-joint-venture-bhp-billiton-and-vale/|https://www.business-humanrights.org/en/companies/vale/;;
Shell plc;Hydrogen|Oil, gas & coal;GB;KZ;;Oil, gas & coal;03.08.2018;Shell response;Kazakhstan: NGO says poisoning of children likely caused by toxic emissions from Karachaganak oil & gas field, operated by KPO consortium, includes company comments;Clean, Healthy & Sustainable Environment|Personal Health;Yes;Shell Kazakhstan;https://www.business-humanrights.org/en/latest-news/shell-response-7/;https://www.business-humanrights.org/en/companies/shell-plc/;;
Nestlé;Food & beverage;CH;KH;;Agriculture/food/beverage/tobacco/fishing: General|Food & beverage;31.07.2018;Nestlé response;Cambodian farmers file lawsuit in Thailand against sugar producer Mitr Phol over alleged land grabbing;Displacement|Ownership of Property & Possessions;Yes;Nestlé;https://www.business-humanrights.org/en/latest-news/nestlé-response-7/;https://www.business-humanrights.org/en/companies/nestlé/;;
Vale;Energy|Metals & steel|Mining|Oil, gas & coal;BR;BR;;Mining|Railroad;20.08.2018;"Brasil: Quilombolas são processados pela Vale após protestos em que alegavam que suas terras foram invadidas pela expansão de Estrada de Ferro Carajás da empresa; inclui comentários da Vale";;Clean, Healthy & Sustainable Environment|Freedom of Expression|Free, prior & informed consent|Human Rights Defenders|Land Rights|Lawsuits & regulatory action|Other Discrimination|Protests|Racial, caste and ethnic groups|Unfair trial;Yes;Sabrina Felipe, The Intercept Brasil (Brazil);https://www.business-humanrights.org/en/latest-news/brasil-quilombolas-são-processados-pela-vale-após-protestos-em-que-alegavam-que-suas-terras-foram-invadidas-pela-expansão-de-estrada-de-ferro-carajás-da-empresa-inclui-comentários-da-vale/;https://www.business-humanrights.org/en/companies/vale/;;
Hennes & Mauritz (H&M);Clothing & textile;SE;IN;;;27.08.2018;H&M response to Union letter of 26 Jul 2018;India: Major brands respond to allegations supplier Avery Dennison is undermining trade union rights & failing to pay contract workers full entitlements;Freedom of Association|Intimidation|Labour Rights|Supply Chains;Yes;H&M;https://www.business-humanrights.org/en/latest-news/hm-response-to-union-letter-of-26-jul-2018/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/;;
Coca-Cola|LEGO Group|McDonald's|Starbucks|Unilever;Amusement park|Coffee|Food & beverage|Restaurants & bars|Retail;DK|GB|US;DK;;Agriculture/food/beverage/tobacco/fishing: General|Oil, gas & coal|Plastics|Toy;11.09.2018;Artigo afirma que Lego, Coca-Cola, Unilever, McDonald's e Starbucks estão buscando alternativas ao plástico que sejam menos poluentes;;Clean, Healthy & Sustainable Environment|Company Policies;Yes;O Globo/New York Times (Brazil/US);https://www.business-humanrights.org/en/latest-news/artigo-afirma-que-lego-coca-cola-unilever-mcdonalds-e-starbucks-estão-buscando-alternativas-ao-plástico-que-sejam-menos-poluentes/;https://www.business-humanrights.org/en/companies/coca-cola/|https://www.business-humanrights.org/en/companies/lego/|https://www.business-humanrights.org/en/companies/mcdonalds/|https://www.business-humanrights.org/en/companies/starbucks/|https://www.business-humanrights.org/en/companies/unilever/;;
Nestlé;Food & beverage;CH;CI|CO|ID|TH;;Food & beverage;28.09.2018;Réponse de Nestlé;"Une étude accuse 5 entreprises suisses d'être régulièrement impliquées dans des violations des droits de l'homme au niveau mondial; avec les réponses des entreprises";Child labour|Forced Labour & Modern Slavery;Yes;Nestlé;https://www.business-humanrights.org/en/latest-news/réponse-de-nestlé/;https://www.business-humanrights.org/en/companies/nestlé/;;
Coca-Cola|Danone|Nestlé|Unilever;Coffee|Food & beverage;CH|FR|GB|US;BR;;Food & beverage;02.10.2018;Brasil: Ag. Nac. de Vigilância Sanitária cria projeto para incluir componentes nocivos nos rótulos de alimentos, Coca-Cola, Nestlé, Unilever, Danone e outras se opõem;;Access to Information|Complicity|Intimidation|Personal Health;Yes;João Peres, The Intercept Brasil (Brazil);https://www.business-humanrights.org/en/latest-news/brasil-ag-nac-de-vigilância-sanitária-cria-projeto-para-incluir-componentes-nocivos-nos-rótulos-de-alimentos-coca-cola-nestlé-unilever-danone-e-outras-se-opõem/;https://www.business-humanrights.org/en/companies/coca-cola/|https://www.business-humanrights.org/en/companies/danone/|https://www.business-humanrights.org/en/companies/nestlé/|https://www.business-humanrights.org/en/companies/unilever/;;
Hennes & Mauritz (H&M);Clothing & textile;SE;BG|IN|KH|TR;;;01.10.2018;Response by H&M;"New research findings accuse H&M of failing to ensure living wages for its supply chain workers; incl. co response";Living Wage;Yes;H&M;https://www.business-humanrights.org/en/latest-news/response-by-hm-4/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/;;
Glencore;Metals & steel|Mining|Oil, gas & coal;CH;CD;;Mining;02.10.2018;Réponse de Glencore;DRC: Glencore copper-cobalt mine allegedly linked to pollution, child labour and tax evasion, including past company responses;Access to Water|Personal Health;Yes;Glencore;https://www.business-humanrights.org/en/latest-news/réponse-de-glencore/;https://www.business-humanrights.org/en/companies/glencore/;;
TotalEnergies (formerly Total);Energy|Hydrogen|Oil, gas & coal;FR;UG;;Oil, gas & coal;08.10.2018;Total's response;"Uganda: Locals impacted by oil exploration activities in Nwoya area allegedly not adequately compensated; Total responds";Adequate Living Standards|Housing;Yes;Total;https://www.business-humanrights.org/en/latest-news/totals-response-4/;https://www.business-humanrights.org/en/companies/totalenergies-formerly-total/;;
Shell plc;Hydrogen|Oil, gas & coal;GB;NG;;;05.11.2018;Shell's response re labour abuses in Nigeria;Nigeria: Union alleges exploitation of contract workers at Shell including anti-union activity, poverty wages, poor health & safety;Freedom of Association|Labour Rights|Living Wage|Personal Health;Yes;Shell;https://www.business-humanrights.org/en/latest-news/shells-response-re-labour-abuses-in-nigeria/;https://www.business-humanrights.org/en/companies/shell-plc/;;
ExxonMobil;Oil, gas & coal;US;US;;;06.11.2018;ExxonMobil did not respond;Climate Accountability Scorecard: Assessment finds 8 major fossil fuel companies fail to adequately plan for low-carbon world;Climate Crisis;No;;https://www.business-humanrights.org/en/latest-news/exxonmobil-did-not-respond-2/;https://www.business-humanrights.org/en/companies/exxonmobil/;;
Shell plc;Hydrogen|Oil, gas & coal;GB;NL;;;06.11.2018;Shell responds;Climate Accountability Scorecard: Assessment finds 8 major fossil fuel companies fail to adequately plan for low-carbon world;Climate Crisis;Yes;;https://www.business-humanrights.org/en/latest-news/shell-responds/;https://www.business-humanrights.org/en/companies/shell-plc/;;
Nestlé;Food & beverage;CH;CH;;Food & beverage;07.11.2018;Nestle response;Canada: Nestlé allegedly extracting water from indigenous land without consent while local residents lack drinking water;Access to Water|Indigenous Peoples;Yes;Nestle;https://www.business-humanrights.org/en/latest-news/nestle-response/;https://www.business-humanrights.org/en/companies/nestlé/;;
Glencore;Metals & steel|Mining|Oil, gas & coal;CH;CD;;Mining;26.11.2018;Glencore's response;"New reports highlight Glencore's alleged opaque deals and legal troubles in the Democratic Republic of Congo; the company declines to comment";Corruption;No;Glencore ;https://www.business-humanrights.org/en/latest-news/glencores-response/;https://www.business-humanrights.org/en/companies/glencore/;;
TotalEnergies (formerly Total);Energy|Hydrogen|Oil, gas & coal;FR;GQ;;Oil, gas & coal;03.12.2018;Total's response re: attack on a defender in Equatorial Guinea;"Equatorial Guinea: Oil cos. urged to denounce attack on human rights defender; Total & Clontarf Energy responded";Violence;Yes;Total;https://www.business-humanrights.org/en/latest-news/totals-response-re-attack-on-a-defender-in-equatorial-guinea/;https://www.business-humanrights.org/en/companies/totalenergies-formerly-total/;;
ExxonMobil;Oil, gas & coal;US;GQ;;Oil, gas & coal;03.12.2018;ExxonMobil did not respond;"Equatorial Guinea: Oil cos. urged to denounce attack on human rights defender; Total & Clontarf Energy responded";Violence;No;;https://www.business-humanrights.org/en/latest-news/exxonmobil-did-not-respond-3/;https://www.business-humanrights.org/en/companies/exxonmobil/;;
Vale;Energy|Metals & steel|Mining|Oil, gas & coal;BR;GN;;;14.12.2018;Vale response;Vale-BSGR lawsuit (re complicity in violence against villagers in Guinea);Complicity|Killings|Torture & Ill-treatment;Yes;Vale;https://www.business-humanrights.org/en/latest-news/vale-response-4/;https://www.business-humanrights.org/en/companies/vale/;;
Vale;Energy|Metals & steel|Mining|Oil, gas & coal;BR;BR;;;14.12.2018;Vale response;BHP lawsuit (re Fundão dam collapse in Brazil, filed in the UK);Deaths;Yes;Vale;https://www.business-humanrights.org/en/latest-news/vale-response-5/;https://www.business-humanrights.org/en/companies/vale/;;
TotalEnergies (formerly Total);Energy|Hydrogen|Oil, gas & coal;FR;KR|NO;;Construction|Construction machinery & vehicles|Oil, gas & coal;25.01.2019;Total's response;South Korea: Victims of 2017 crane accident during construction of oil platform still lacking adequate compensation & support, say NGOs, incl. co. responses;Deaths|Injuries|Labour Rights|Personal Health;Yes;Total;https://www.business-humanrights.org/en/latest-news/totals-response-5/;https://www.business-humanrights.org/en/companies/totalenergies-formerly-total/;;
BHP|Compañía Minera Antamina (Joint venture BHP (33.75%) | Glencore (33.75%);Chemical: General|Energy|Finance & banking|Food & beverage|Metals & steel|Mining|Oil, gas & coal;AU|CA|CH|JP|PE;PE;;Mining;04.02.2019;Respuesta de Antamina;Perú: Región de Áncash en alerta por contaminación de cabeceras de cuencas por minería;Access to Water|Clean, Healthy & Sustainable Environment;Yes;Antamina;https://www.business-humanrights.org/en/latest-news/respuesta-de-antamina/;https://www.business-humanrights.org/en/companies/antamina-joint-venture-bhp-glencore-teck-resources-mitsubishi-corporation/|https://www.business-humanrights.org/en/companies/bhp-formerly-bhp-billiton/|https://www.business-humanrights.org/en/companies/glencore/|https://www.business-humanrights.org/en/companies/mitsubishi-corporation-part-of-mitsubishi-group/|https://www.business-humanrights.org/en/companies/teck-resources/;;
BHP|Compañía Minera Antamina (Joint venture BHP (33.75%) | Glencore (33.75%);Chemical: General|Energy|Finance & banking|Food & beverage|Metals & steel|Mining|Oil, gas & coal;AU|CA|CH|JP|PE;PE;;Mining;04.02.2019;Response by Antamina;Peru: Ancash region under alert over alleged contamination of water sources by Antamina mining operations;Access to Water;Yes;Antamina;https://www.business-humanrights.org/en/latest-news/response-by-antamina/;https://www.business-humanrights.org/en/companies/antamina-joint-venture-bhp-glencore-teck-resources-mitsubishi-corporation/|https://www.business-humanrights.org/en/companies/bhp-formerly-bhp-billiton/|https://www.business-humanrights.org/en/companies/glencore/|https://www.business-humanrights.org/en/companies/mitsubishi-corporation-part-of-mitsubishi-group/|https://www.business-humanrights.org/en/companies/teck-resources/;;
BHP;Mining|Oil, gas & coal;AU;PE;;Mining;04.02.2019;Response by BHP Billiton;Peru: Ancash region under alert over alleged contamination of water sources by Antamina mining operations;Access to Water;Yes;BHP Billiton;https://www.business-humanrights.org/en/latest-news/response-by-bhp-billiton-3/;https://www.business-humanrights.org/en/companies/bhp-formerly-bhp-billiton/;;
Glencore;Metals & steel|Mining|Oil, gas & coal;CH;PE;;Mining;04.02.2019;Response by Glencore;Peru: Ancash region under alert over alleged contamination of water sources by Antamina mining operations;Access to Water;Yes;Glencore;https://www.business-humanrights.org/en/latest-news/response-by-glencore-6/;https://www.business-humanrights.org/en/companies/glencore/;;
Glencore;Metals & steel|Mining|Oil, gas & coal;CH;PE;;Mining;25.02.2019;Response by Glencore on attacks against WHRDs in 2018;"Peru: Glencore copper mine impacts local communities; including past company responses";Access to Water|Land Rights|Violence|Women;Yes;Glencore;https://www.business-humanrights.org/en/latest-news/response-by-glencore-7/;https://www.business-humanrights.org/en/companies/glencore/;;
Glencore;Metals & steel|Mining|Oil, gas & coal;CH;PE;;Mining;25.02.2019;Respuesta de Glencore;Perú: Mujeres de Comunidad aledaña a minera Antapaccay, de Glencore, denuncian agresión de empresa de seguridad Liderman, de Carlyle Group;Land Rights|Violence|Women;Yes;Glencore;https://www.business-humanrights.org/en/latest-news/respuesta-de-glencore-5/;https://www.business-humanrights.org/en/companies/glencore/;;
Archer Daniels Midland (ADM);Agriculture & livestock;US;BR;;;15.02.2019;Archer Daniels Midland's response;Brazil: NGO report alleges companies complicit in deforestation & human rights abuses in the Amazon;Clean, Healthy & Sustainable Environment|Indigenous Peoples;Yes;Archer Daniels Midland;https://www.business-humanrights.org/en/latest-news/archer-daniels-midlands-response/;https://www.business-humanrights.org/en/companies/archer-daniels-midland-adm/;;
Hennes & Mauritz (H&M)|Nordea Bank;Clothing & textile|Finance & banking;SE;BD;;Clothing & textile|Finance & banking;03.03.2019;No response from Nordea  to the Fair Action report “Broke in Bangladesh”;Bangladesh: Fair Action reports that Nordic banks fail to hold H&M and other brands accountable to living wage promises;Labour Rights|Living Wage|Socially-responsible investing & shareholder activism;No;;https://www.business-humanrights.org/en/latest-news/no-response-from-nordea-to-the-fair-action-report-broke-in-bangladesh/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/|https://www.business-humanrights.org/en/companies/nordea-bank/;;
Hennes & Mauritz (H&M)|ODIN Fund Management (part of SpareBank1 Group);Clothing & textile|Finance & banking;NO|SE;BD;;Clothing & textile|Finance & banking;03.03.2019;Response from ODIN Fund Management to the Fair Action report “Broke in Bangladesh”;Bangladesh: Fair Action reports that Nordic banks fail to hold H&M and other brands accountable to living wage promises;Labour Rights|Living Wage|Socially-responsible investing & shareholder activism;Yes;Hans Tronstad, Director of Communications Sparebank 1 SMN, Norway;https://www.business-humanrights.org/en/latest-news/response-from-odin-fund-management-to-the-fair-action-report-broke-in-bangladesh/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/|https://www.business-humanrights.org/en/companies/odin-fund-management-part-of-sparebank1-group/;;
